"id","name","code","account_type","reconcile","currency_id","tag_ids"
"py_2_02_01_03","INTERESES A  PAGAR A PROVEEDORES","2.02.01.03","liability_payable","True","base.PYG",""
"py_2_02_01_04","OTROS ACREEDORES","2.02.01.04","liability_payable","True","base.PYG",""
"py_2_02_02_01","PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS","2.02.02.01","liability_payable","True","base.PYG",""
"py_2_02_02_02","PRÉSTAMOS DEL DUEÑO, SOCIOS O  ENTIDADES VINCULADAS","2.02.02.02","liability_payable","True","base.PYG",""
"py_2_02_02_03","ARRENDAMIENTOS FINANCIEROS","2.02.02.03","liability_payable","True","base.PYG",""
"py_2_02_02_04","OTROS PRÉSTAMOS","2.02.02.04","liability_payable","True","base.PYG",""
"py_2_02_02_05","INTERESES A PAGAR","2.02.02.05","liability_payable","True","base.PYG",""
"py_2_02_03_01","PASIVOS POR IMPUESTOS DIFERIDOS","2.02.03.01","liability_current","False","base.PYG",""
"py_2_02_03_02","PASIVOS FIDUCIARIOS","2.02.03.02","liability_non_current","False","base.PYG",""
"py_2_02_04_01","OBLIGACIONES POR GARANTÍAS OTORGADAS","2.02.04.01","liability_non_current","False","base.PYG",""
"py_2_02_04_02","OBLIGACIONES LEGALES POR LITIGIOS PENDIENTES","2.02.04.02","liability_non_current","False","base.PYG",""
"py_2_02_04_03","PROVISIONES PARA BENEFICIOS A EMPLEADOS","2.02.04.03","liability_non_current","False","base.PYG",""
"py_2_02_05_01","ANTICIPOS DE CLIENTES","2.02.05.01","liability_non_current","False","base.PYG",""
"py_2_02_05_02","SUBVENCIONES","2.02.05.02","liability_non_current","False","base.PYG",""
"py_2_02_05_03","DERECHO DE FIDELIZACIÓN DE CLIENTES","2.02.05.03","liability_non_current","False","base.PYG",""
"py_2_02_05_04","ALQUILERES COBRADOS POR ADELANTADO","2.02.05.04","liability_non_current","False","base.PYG",""
"py_3_01_01_01","CAPITAL SUSCRIPTO","3.01.01.01","equity","False","base.PYG",""
"py_3_01_01_02","(-) CAPITAL A INTEGRAR","3.01.01.02","equity","False","base.PYG",""
"py_3_02_01_01","RESERVA LEGAL","3.02.01.01","equity","False","base.PYG",""
"py_3_02_02_01","RESERVA DE REVALÚO FISCAL","3.02.02.01","equity","False","base.PYG",""
"py_3_02_02_02","RESERVA DE REVALÚO TÉCNICO","3.02.02.02","equity","False","base.PYG",""
"py_3_02_03_01","OTRAS RESERVAS","3.02.03.01","equity","False","base.PYG",""
"py_3_03_01_01","RESULTADOS ACUMULADOS","3.03.01.01","equity","False","base.PYG",""
"py_3_03_01_02","RESULTADO DEL EJERCICIO","3.03.01.02","equity_unaffected","False","base.PYG",""
"py_4_01_01_01","VENTAS DE MERCADERÍAS GRAVADAS POR EL IVA","4.01.01.01","income","False","base.PYG",""
"py_4_01_01_02","VENTAS DE MERCADERÍAS EXENTAS DEL IVA","4.01.01.02","income","False","base.PYG",""
"py_4_02_01_01","VENTAS DE SOJA Y SUS DERIVADOS","4.02.01.01","income","False","base.PYG",""
"py_4_02_01_02","VENTAS DE MAÍZ","4.02.01.02","income","False","base.PYG",""
"py_4_02_01_03","VENTAS DE TRIGO","4.02.01.03","income","False","base.PYG",""
"py_4_02_01_04","OTROS PRODUCTOS AGRÍCOLAS","4.02.01.04","income","False","base.PYG",""
"py_4_03_01_01","VENTAS DE GANADO","4.03.01.01","income","False","base.PYG",""
"py_4_04_01_01","VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS","4.04.01.01","income","False","base.PYG",""
"py_4_05_01_01","VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL","4.05.01.01","income","False","base.PYG",""
"py_4_06_01_01","EXPORTACIONES A EMPRESAS VINCULADAS","4.06.01.01","income","False","base.PYG",""
"py_4_06_01_02","EXPORTACIONES A TERCEROS NO VINCULADOS","4.06.01.02","income","False","base.PYG",""
"py_4_06_02_01","EXPORTACIONES DE OTROS PRODUCTOS AGRÍCOLAS","4.06.02.01","income","False","base.PYG",""
"py_4_07_01_01","EXPORTACIONES DE PRODUCTOS FARMACÉUTICOS","4.07.01.01","income","False","base.PYG",""
"py_4_07_02_01","EXPORTACIONES DE MAQUINARIAS Y EQUIPOS","4.07.02.01","income","False","base.PYG",""
"py_4_07_03_01","EXPORTACIONES DE OTROS PRODUCTOS INDUSTRIALIZADOS","4.07.03.01","income","False","base.PYG",""
"py_4_08_01_01","EXPORTACIONES DE OTROS PRODUCTOS","4.08.01.01","income","False","base.PYG",""
"py_4_09_01_01","VENTAS DE SERVICIOS GRAVADOS","4.09.01.01","income","False","base.PYG",""
"py_4_10_01_01","VENTAS A EXTRANJEROS","4.10.01.01","income","False","base.PYG",""
"py_4_10_01_02","VENTAS A DISTRIBUIDORES LOCALES","4.10.01.02","income","False","base.PYG",""
"py_4_10_01_03","VENTAS A CLIENTES LOCALES","4.10.01.03","income","False","base.PYG",""
